Vehicle_Age_Years,Odometer_Reading_km,Ambient_Temperature_C,Engine_Temp_C,Engine_RPM,Oil_Pressure_psi,Coolant_Level_pct,Battery_Voltage_V,Mass_Airflow_Rate_gs,Throttle_Position_pct,Brake_Pad_Wear_pct,Tire_Pressure_psi,Vibration_Level_mm_s,Fuel_Consumption_L_100km,km_per_year,temp_difference,Brand_Hyundai,Brand_Mahindra,Brand_Maruti Suzuki,Brand_Tata,Model_Baleno,Model_City,Model_Creta,Model_Dzire,Model_Harrier,Model_Nexon,Model_Scorpio,Model_Swift,Model_Thar,Model_Tiago,Model_Venue,Model_Wagon R,Model_XUV300,Model_i10
5,56710,17.4,99.0,962.5519225462411,53.2,80.7,14.4,11.8,25.5,63.4,31.7,2.5,6.3,9451.666666666666,81.6,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
8,92632,39.0,102.4,811.0,47.1,91.7,12.7,11.4,39.2,60.4,28.749999999999996,1.6,11.8,10292.444444444445,63.400000000000006,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2,20788,12.7,113.4,1905.0,52.2,75.2,13.8,14.0,28.0,61.9,32.3,2.4,10.1,6929.333333333333,100.7,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2,20788,34.5,103.4,1413.5926176518828,42.9,70.1,12.9,4.4,56.2,69.3,32.7,1.4,9.4,6929.333333333333,68.9,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
10,116580,15.8,97.4,2122.0,18.4,79.8,12.7,3.8,15.5,91.6,32.1,0.6,9.1,10598.181818181818,81.60000000000001,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
8,92632,33.5,105.9,1104.0,20.9,84.1,12.5,13.9,16.0,37.3,33.2,2.9,8.2,10292.444444444445,72.4,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
4,44736,27.3,105.1,1430.0,26.4,72.7,14.1,8.3,27.0,85.4,34.9,2.3,9.9,8947.2,77.8,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
12,140528,37.1,105.0,2044.0,29.2,86.8,12.9,13.0,50.5,93.9,28.749999999999996,2.8,6.2,10809.846153846154,67.9,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,8814,10.0,93.1,1243.0,18.4,90.8,12.8,3.2,52.6,76.2,31.8,2.4,6.3,4407.0,83.1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1,8814,28.8,102.0,1077.0,44.7,77.1,13.8,13.8,31.0,74.0,32.6,1.3,6.9,4407.0,73.2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
3,32762,20.2,102.0,2300.0,34.8,90.3,14.2,4.5,54.1,35.1,33.3,1.2,9.7,8190.5,81.8,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
3,32762,34.6,88.2,1036.0,24.0,99.2,13.3,13.6,38.4,94.1,32.8,1.6,7.1,8190.5,53.6,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
13,152502,38.6,89.0,2198.0,29.3,83.6,12.9,5.4,29.5,47.0,28.749999999999996,1.5,8.1,10893.0,50.4,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
5,56710,41.9,99.6,1823.0,37.8,85.1,14.1,9.3,50.6,75.5,33.0,2.5,6.6,9451.666666666666,57.699999999999996,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
