Vehicle_ID,Brand,Model,Vehicle_Age_Years,Odometer_Reading_km,Ambient_Temperature_C,Engine_Temp_C,Engine_RPM,Oil_Pressure_psi,Coolant_Level_pct,Battery_Voltage_V,Mass_Airflow_Rate_gs,Throttle_Position_pct,Brake_Pad_Wear_pct,Tire_Pressure_psi,Vibration_Level_mm_s,Fuel_Consumption_L_100km,Fault_Status,Faulty_Unit,Fault_Type,Fault_Severity
DL6CRD8920,Maruti Suzuki,Baleno,5,56710,17.4,99.0,962.5519225462411,53.2,80.7,14.4,11.8,25.5,63.4,31.7,2.5,6.3,1,Fuel System,Fuel Injector Clog,4
DL11CNW3393,Hyundai,Venue,8,92632,39.0,102.4,811.0,47.1,91.7,12.7,11.4,39.2,60.4,25.1,1.6,11.8,1,Tires,Low Tire Pressure,3
DL7CMO3062,Hyundai,i10,2,20788,12.7,113.4,1905.0,52.2,75.2,13.8,14.0,28.0,61.9,32.3,2.4,10.1,1,Cooling System,Overheating,8
DL3CNC8991,Hyundai,Venue,2,20788,34.5,103.4,1413.5926176518828,42.9,70.1,12.9,4.4,56.2,69.3,32.7,1.4,9.4,1,Fuel System,Fuel Injector Clog,4
DL6CVB8229,Tata,Nexon,10,116580,15.8,97.4,2122.0,18.4,79.8,12.7,3.8,15.5,91.6,32.1,0.6,9.1,1,Engine,Low Oil Pressure,10
DL1CBR1503,Maruti Suzuki,Baleno,8,92632,33.5,105.9,1104.0,20.9,84.1,12.5,13.9,16.0,37.3,33.2,2.9,8.2,1,Engine,Low Oil Pressure,10
DL4CQB1335,Mahindra,Thar,4,44736,27.3,105.1,1430.0,26.4,72.7,14.1,8.3,27.0,85.4,34.9,2.3,9.9,1,Engine,Low Oil Pressure,10
DL4CQD2408,Hyundai,Venue,12,140528,37.1,105.0,2044.0,29.2,86.8,12.9,13.0,50.5,93.9,28.2,2.8,6.2,1,Tires,Low Tire Pressure,1
DL1CXD8205,Mahindra,Thar,1,8814,10.0,93.1,1243.0,18.4,90.8,12.8,3.2,52.6,76.2,31.8,2.4,6.3,1,Engine,Low Oil Pressure,10
DL6CJZ4613,Maruti Suzuki,Wagon R,1,8814,28.8,102.0,1077.0,44.7,77.1,13.8,13.8,31.0,74.0,32.6,1.3,6.9,0,No Fault,No Fault,0
DL6CGC9982,Hyundai,Venue,3,32762,20.2,102.0,2300.0,34.8,90.3,14.2,4.5,54.1,35.1,33.3,1.2,9.7,1,Transmission,Transmission Slip,8
DL3CFB5482,Maruti Suzuki,Baleno,3,32762,34.6,88.2,1036.0,24.0,99.2,13.3,13.6,38.4,94.1,32.8,1.6,7.1,1,Engine,Low Oil Pressure,10
DL9CZA3049,Maruti Suzuki,Wagon R,13,152502,38.6,89.0,2198.0,29.3,83.6,12.9,5.4,29.5,47.0,24.2,1.5,8.1,1,Tires,Low Tire Pressure,1
DL12CFO3886,tata,Harrier,5,56710,41.9,99.6,1823.0,37.8,,14.1,,50.6,75.5,33.0,2.5,6.6,1,Sensors,MAF Sensor Failure,6
DL5CGN9394,Maruti Suzuki,Wagon R,1,8814,44.5,89.4,2382.0,27.5,93.0,14.0,6.5,43.4,35.0,32.4,3.8,5.7,1,Engine,Low Oil Pressure,10
DL6COA9523,Hyundai,Creta,5,56710,33.5,97.8,1356.0,31.2,82.3,14.0,14.0,40.9,98.6,33.1,3.5,6.1,0,No Fault,No Fault,0
DL12CTW9087,Mahindra,Scorpio,9,104606,26.4,97.6,2115.0,34.3,73.1,13.5,7.7,48.4,69.1,31.6,2.9,9.5,0,No Fault,No Fault,0
DL5CPF7721,Maruti Suzuki,Wagon R,13,152502,37.2,90.2,1424.0,18.7,90.4,14.4,14.9,55.1,93.9,35.0,3.6,9.1,1,Engine,Low Oil Pressure,10
DL1CRH3266,Tata,Harrier,3,32762,23.1,88.9,2317.0,49.3,92.5,13.5,14.6,38.2,70.2,34.7,2.0,10.1,0,No Fault,No Fault,0
DL10CCE7300,Honda,Amaze,3,32762,13.6,93.2,2497.0,25.3,86.7,13.8,8.6,39.8,67.0,31.8,0.7,11.2,1,Engine,Low Oil Pressure,10
DL2CIE5009,Maruti Suzuki,Dzire,11,128554,36.0,100.5,2469.0,57.4,93.9,13.0,9.8,52.6,19.4,32.5,2.2,9.5,1,Brake System,Worn Brakes,5
DL12CCT8424,Hyundai,i10,6,68684,11.3,102.0,2342.0,42.1,99.8,13.7,24.2,22.1,39.0,31.3,2.4,10.3,1,Sensors,MAF Sensor Failure,4
DL11CDL6043,Hyundai,i10,3,32762,20.8,121.9,1551.0,39.3,75.4,13.2,9.5,42.8,83.6,31.3,3.4,10.0,1,Cooling System,Overheating,8
DL8CSZ6006,Honda,Amaze,8,92632,33.3,104.4,1029.0,50.5,88.3,14.4,10.9,22.5,22.1,34.7,1.9,7.8,1,Brake System,Worn Brakes,5
DL12CAH4430,Hyundai,Creta,1,8814,10.9,99.7,1287.2778724778914,58.6,78.5,12.6,8.0,34.9,47.8,33.4,3.4,7.6,1,Fuel System,Fuel Injector Clog,4
DL7CTO6743,Tata,Tiago,12,140528,33.0,95.4,747.6042611550284,40.1,88.9,14.3,13.2,23.8,57.8,34.8,2.1,5.0,1,Fuel System,Fuel Injector Clog,6
DL10CGE4859,Maruti Suzuki,Wagon R,4,44736,31.5,102.7,2286.0,67.0,78.0,13.2,9.5,47.3,73.9,32.5,0.6,7.5,0,No Fault,No Fault,0
